Video,Original Frames,Summary Frames,Compression (%),FPS,Duration (sec)
V48_.mp4,1762,80,4.54,30.0,58.73
V49_.mp4,873,16,1.83,25.0,34.92
v10.mp4,325,32,9.85,25.0,13.0
v11.mp4,273,16,5.86,30.0,9.1
v12.mp4,159,16,10.06,25.0,6.36
v13.mp4,48,16,33.33,25.0,1.92
v15.mp4,123,16,13.01,25.0,4.92
v17.mp4,174,16,9.2,25.0,6.96
v18.mp4,328,16,4.88,29.97,10.94
v19.mp4,160,16,10.0,29.97,5.34
v2.mp4,179,16,8.94,25.0,7.16
v20.mp4,226,16,7.08,29.97,7.54
v21.mp4,263,16,6.08,29.97,8.78
v22.mp4,263,16,6.08,29.97,8.78
v23.mp4,326,16,4.91,29.97,10.88
v24.mp4,314,16,5.1,29.97,10.48
v25.mp4,201,16,7.96,29.97,6.71
v26.mp4,192,16,8.33,29.97,6.41
v27.mp4,341,16,4.69,29.97,11.38
v3.mp4,185,16,8.65,25.0,7.4
v4.mp4,611,64,10.47,25.0,24.44
v47_.mp4,611,64,10.47,25.0,24.44
v5.mp4,359,16,4.46,25.0,14.36
v50_.mp4,23945,16,0.07,25.0,957.8
